eX,eY,eYAW,eVx,eVy,iEX,iEY,iEYAW,iEVx,iEVy,dEX,dEY,dEYAW,dEVx,dEVy
-28.06001421541026, -6.866348432526255, -2.0232980678895305, -2.270568010308505, 3.8867003022694258, 0.0, 0.0, 0.0, 0.0, 0.0, -0.142606036624354, 0.3184806065970651, -0.00472247868093989, 0.40374846492002003, -0.10833675499789042
-28.06001421541026, -6.866348432526255, -2.0232980678895305, -2.270568010308505, 3.8867003022694258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.07864954385166, -6.789740669527841, -2.026027299770593, -2.2599518607080786, 3.892882725741897, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01863532844140181, 0.07660776299841388, -0.002729231881062333, 0.01061614960042645, 0.006182423472471221
-28.07864954385166, -6.789740669527841, -2.026027299770593, -2.2599518607080786, 3.892882725741897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.07864954385166, -6.789740669527841, -2.026027299770593, -2.2599518607080786, 3.892882725741897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.07864954385166, -6.789740669527841, -2.026027299770593, -2.2599518607080786, 3.892882725741897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.07864954385166, -6.789740669527841, -2.026027299770593, -2.2599518607080786, 3.892882725741897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.108215987885746, -6.666283263126898, -2.0304218217482903, -2.2428227352150265, 3.9027765126253584, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029566444034085038, 0.12345740640094327, -0.004394521977697519, 0.017129125493052122, 0.00989378688346143
-28.108215987885746, -6.666283263126898, -2.0304218217482903, -2.2428227352150265, 3.9027765126253584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.108215987885746, -6.666283263126898, -2.0304218217482903, -2.2428227352150265, 3.9027765126253584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.119541556638694, -6.618347317144297, -2.0321268847443097, -2.2361649984149836, 3.9065949916725797, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0113255687529481, 0.047935945982601424, -0.0017050629960193575, 0.0066577368000428905, 0.0038184790472213237
-28.119541556638694, -6.618347317144297, -2.0321268847443097, -2.2361649984149836, 3.9065949916725797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.119541556638694, -6.618347317144297, -2.0321268847443097, -2.2361649984149836, 3.9065949916725797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.119541556638694, -6.618347317144297, -2.0321268847443097, -2.2361649984149836, 3.9065949916725797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.119541556638694, -6.618347317144297, -2.0321268847443097, -2.2361649984149836, 3.9065949916725797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.119541556638694, -6.618347317144297, -2.0321268847443097, -2.2361649984149836, 3.9065949916725797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.119541556638694, -6.618347317144297, -2.0321268847443097, -2.2361649984149836, 3.9065949916725797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.255624244580293, -6.240381198298584, -2.0386632059413397, -1.7966160100279265, 3.73130179051211, 0.0, 0.0, 0.0, 0.0, 0.0, -0.13608268794159883, 0.37796611884571263, -0.0065363211970299595, 0.43954898838705714, -0.17529320116046954
-28.255624244580293, -6.240381198298584, -2.0386632059413397, -1.7966160100279265, 3.73130179051211, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.255624244580293, -6.240381198298584, -2.0386632059413397, -1.7966160100279265, 3.73130179051211, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.265350373564786, -6.196178435988855, -2.040227324521978, -1.7907776162667124, 3.734107345597561, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009726128984492988, 0.04420276230972853, -0.0015641185806383184, 0.005838393761214089, 0.0028055550854508837
-28.265350373564786, -6.196178435988855, -2.040227324521978, -1.7907776162667124, 3.734107345597561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.265350373564786, -6.196178435988855, -2.040227324521978, -1.7907776162667124, 3.734107345597561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.265350373564786, -6.196178435988855, -2.040227324521978, -1.7907776162667124, 3.734107345597561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-28.265350373564786, -6.196178435988855, -2.040227324521978, -1.7907776162667124, 3.734107345597561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
